user_input,reference_contexts,reference,synthesizer_name
"AI agent, what it be?","['빅테크 기업의 AI 에이전트 사례를 중심으로 최근 생성형 AI의 확산과 함께 인간과 상호작용이 가능한 AI 에이전트에 대한 관심이 급증하고 있으며, 향후 몇 년 안에 관련 시장이 급속히 성장할 것으로 예상된다.']","With recent spread of generative AI, interest in AI agents that can interact with humans is rapidly increasing, especially focusing on AI agent examples from big tech companies. The related market is expected to grow rapidly in the next few years.",single_hop_specifc_query_synthesizer
How AI agents create revenue models big tech?,['빅테크 기업들이 AI 에이전트 시장에 잇따라 진출하며 다양한 수익 모델을 창출하고 있는 상황이다.'],빅테크 기업들이 AI 에이전트 시장에 잇따라 진출하며 다양한 수익 모델을 창출하고 있는 상황이다.,single_hop_specifc_query_synthesizer
"What potential problems, spanning technical, social, ethical, and legal domains, might arise from the integration of AI agents?","['그러나 AI 에이전트는 기술적, 사회적, 윤리적, 법적 문제를 초래할 가능성도 내포하고 있다.']","AI 에이전트는 기술적, 사회적, 윤리적, 법적 문제를 초래할 가능성도 내포하고 있다.",single_hop_specifc_query_synthesizer
What is the future of AI agents?,"['앞으로 AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.']","AI 에이전트는 기술 혁신과 사회 변화를 주도하는 핵심 요소로 자리 잡으며, 기업의 업무방식과 개인의 삶에 깊숙이 통합되어 획기적인 변화를 이끌어갈 것으로 전망된다.",single_hop_specifc_query_synthesizer
"가트너가 제시한 AI 에이전트 스펙트럼에서, 전통적인 시스템(Traditional Systems)은 AI 에이전트와 어떻게 구별되며, 이러한 구별은 AI 에이전트 시장의 성장에 어떤 영향을 미치는가?","['<1-hop>\n\n또 다른 시장조사기관인 Grand View Research도 글로벌 AI 에이전트 시장 규모를 2023년에 38억 6천만 달러로 추정하고, 2024년에서 2030년까지 연평균 성장률(CAGR) 45.1%로 성장할 것으로 예상한다.', '<2-hop>\n\n가트너는 AI 에이전트 스펙트럼을 제시하면서 한쪽 끝에는 특정 작업을 제한적으로 수행하는 전통적인 시스템이 있고, 반대편에는 환경에서 학습하고 독립적으로 결정 및 작업을 수행할 수 있는 완전한 에이전틱 AI 시스템이 있다고 설명한다.']","가트너는 AI 에이전트 스펙트럼을 제시하면서, 한쪽 끝에는 특정 작업을 제한적으로 수행하는 전통적인 시스템이 있고, 반대편에는 환경에서 학습하고 독립적으로 결정 및 작업을 수행할 수 있는 완전한 에이전틱 AI 시스템이 있다고 설명합니다. Grand View Research는 글로벌 AI 에이전트 시장 규모가 2023년에 38억 6천만 달러로 추정되며, 2024년에서 2030년까지 연평균 성장률(CAGR) 45.1%로 성장할 것으로 예상합니다.",multi_hop_abstract_query_synthesizer
"accourding to the provided context, how do stuart russell and peter norvig define an agent, and how does this definition relate to the 북미 AI 에이전트 시장, particularly considering the role of AI agents in achieving goals within that market?","['<1-hop>\n\n북미 AI 에이전트 시장은 2023년 40.0%가 넘는 매출 점유율로 글로벌 산업을 주도했으며, Google, Microsoft, IBM Corporation을 포함한 주요 기술 회사가 AI 에이전트 기술 개발을 선도하고, 스타트업 생태계를 보유하고 있어 금융 및 교육과 같은 다양한 부문에서 AI 에이전트 발전을 촉진한다.', '<2-hop>\n\n스튜어트 러셀(Stuart Russell)과 피터 노비그(Peter Norvig)는 2021년 출판한 저서 ‘인공지능 – 현대적 접근법’에서 에이전트(Agent)는 센서를 통해 환경을 인식하고 센서가 액추에이터를 통해 해당 환경에 작용하는 것으로, 합리적 에이전트(Rational Agent)는 최선의 결과를 달성하기 위해 행동하거나, 불확실성이 있는 경우 최선의 기대 결과를 얻기 위해 행동하는 행위자로 정의한다.', '<3-hop>\n\n에이전트(Agent)는 ‘환경을 인식하고 목표를 달성하기 위해 조치를 취하는 자동화된 엔티티’라고 정의하고, AI 에이전트(AI Agent)는 “AI 기술을 사용하여 목표를 성공적으로 달성할 가능성을 최대화하는 에이전트”라고 정의한다.']","According to Stuart Russell and Peter Norvig in their 2021 book ‘인공지능 – 현대적 접근법’, an agent is defined as something that perceives its environment through sensors and acts on that environment through actuators. A rational agent is defined as an actor that behaves to achieve the best outcome, or, when there is uncertainty, to achieve the best expected outcome. The context also states that the 북미 AI 에이전트 시장 is leading the global industry with over 40.0% revenue share in 2023, with major tech companies leading AI agent technology development, suggesting that AI agents are playing a significant role in achieving goals within that market.",multi_hop_abstract_query_synthesizer
"Considering the definition of an AI 에이전트 as an entity using AI to maximize goal achievement, and Gartner's spectrum of AI 에이전트 capabilities ranging from limited task execution to environmental learning and independent decision-making, what is the projected market size and growth rate for global AI 에이전트 according to Grand View Research?","['<1-hop>\n\n또 다른 시장조사기관인 Grand View Research도 글로벌 AI 에이전트 시장 규모를 2023년에 38억 6천만 달러로 추정하고, 2024년에서 2030년까지 연평균 성장률(CAGR) 45.1%로 성장할 것으로 예상한다.', '<2-hop>\n\n가트너는 AI 에이전트 스펙트럼을 제시하면서 한쪽 끝에는 특정 작업을 제한적으로 수행하는 전통적인 시스템이 있고, 반대편에는 환경에서 학습하고 독립적으로 결정 및 작업을 수행할 수 있는 완전한 에이전틱 AI 시스템이 있다고 설명한다.', '<3-hop>\n\n에이전트(Agent)는 ‘환경을 인식하고 목표를 달성하기 위해 조치를 취하는 자동화된 엔티티’라고 정의하고, AI 에이전트(AI Agent)는 “AI 기술을 사용하여 목표를 성공적으로 달성할 가능성을 최대화하는 에이전트”라고 정의한다.']",Grand View Research estimates the global AI 에이전트 market size at $3.86 billion in 2023 and projects a compound annual growth rate (CAGR) of 45.1% from 2024 to 2030.,multi_hop_abstract_query_synthesizer
AI 에이전트(AI agents) 목표 달성?,"['<1-hop>\n\n알란 찬(ALan Chan) 등은 2024년 발간된 연구논문인 ‘AI 에이전트에 대한 가시성’에서 많은 AI 개발자들이 더 큰 자율성, 외부 도구나 서비스 접근, 장기적 목표 달성을 위해 안정적으로 적응하고 계획하며 지속적 행동할 수 있는 능력 향상을 갖춘 시스템을 제작하고 있다고 설명하면서 이러한 시스템에 대해 AI 에이전트(AI agents 또는 agentic systems)라고 지칭한다.', '<2-hop>\n\n에이전트(Agent)는 ‘환경을 인식하고 목표를 달성하기 위해 조치를 취하는 자동화된 엔티티’라고 정의하고, AI 에이전트(AI Agent)는 “AI 기술을 사용하여 목표를 성공적으로 달성할 가능성을 최대화하는 에이전트”라고 정의한다.']","AI 에이전트(AI Agent)는 ""AI 기술을 사용하여 목표를 성공적으로 달성할 가능성을 최대화하는 에이전트""라고 정의한다. 많은 AI 개발자들이 장기적 목표 달성을 위해 안정적으로 적응하고 계획하며 지속적 행동할 수 있는 능력 향상을 갖춘 시스템을 제작하고 있다.",multi_hop_abstract_query_synthesizer
"AI 에이전트의 시장 기회 확대와 관련하여, 스튜어트 러셀과 피터 노비그가 정의한 합리적 에이전트의 행동 방식은 무엇인가?","['<1-hop>\n\nAI 에이전트는 고객 서비스와 개인 비서, 자율 주행 차량, 스마트 팩토리 등 다양한 산업에 활용될 수 있어서 시장 기회 확대된다.', '<2-hop>\n\n스튜어트 러셀(Stuart Russell)과 피터 노비그(Peter Norvig)는 2021년 출판한 저서 ‘인공지능 – 현대적 접근법’에서 에이전트(Agent)는 센서를 통해 환경을 인식하고 센서가 액추에이터를 통해 해당 환경에 작용하는 것으로, 합리적 에이전트(Rational Agent)는 최선의 결과를 달성하기 위해 행동하거나, 불확실성이 있는 경우 최선의 기대 결과를 얻기 위해 행동하는 행위자로 정의한다.']","AI 에이전트는 고객 서비스, 개인 비서, 자율 주행 차량, 스마트 팩토리 등 다양한 산업에 활용될 수 있어 시장 기회가 확대된다. 스튜어트 러셀과 피터 노비그는 합리적 에이전트를 최선의 결과를 달성하기 위해 행동하거나, 불확실성이 있는 경우 최선의 기대 결과를 얻기 위해 행동하는 행위자로 정의한다.",multi_hop_specific_query_synthesizer
"How does Gartner define \""에이젠틱 AI,\"" and what are the key characteristics that distinguish it from traditional AI systems that rely on explicit inputs?","['<1-hop>\n\n‘에이젠틱 AI’는 명시적인 입력 없이 지침을 받고, 계획을 세우고, 도구를 사용하여 작업을 완료하며, 미리 정해진 출력을 생성하지 않고, 동적 출력을 생성할 수 있다고 설명한다.', '<2-hop>\n\n가트너는 AI 에이전트를 ‘에이젠틱 AI(Agentic AI)’로 칭하고, AI 기술을 사용하여 작업을 완료하고 목표를 달성하는 목표 중심 소프트웨어 엔터티로 정의한다.']","Gartner defines AI agents as \""에이젠틱 AI,\"" characterizing them as goal-oriented software entities that utilize AI technology to complete tasks and achieve objectives. ‘에이젠틱 AI’ is described as being able to receive instructions without explicit input, formulate plans, use tools to complete tasks, and generate dynamic outputs instead of predetermined ones.",multi_hop_specific_query_synthesizer
